ID,Boarding Area,Terminal,Language,Gender,Where,Country,Bay Area,Airport Rating,Art Rating,Restaurant Rating,Moving Walkways Rating,Arrival Booth Rating,Departure Booth Rating,Signage Rating,Directional Signs Rating,Parking Rating,Airtrain Rating,Parking Shuttle Rating,Rental Car Center Rating,Retail Rating,Form Of Transportation,Mode Of Transportation Rating,Car Arrivals,Green Rental,Question Green Rental,Carbon Offset,Purpose Of Travel,Ease Of Finding Way Rating,Security Rating,Airport Cleanliness,Boarding Area Cleanliness,Garage Cleanliness,Air Train Cleanliness,Rental Car Center Cleanliness,Restaurant Cleanliness,Restroom Cleanliness,Safety Rating,Aware Of Website,Used Website,Website Rating,Previous Departures This Year,Overall Satisfaction,Overall Cleanliness,Airport Wi Fi Use,Restaurant Spending,Retail Shop Spending
614,B,1,English,Female,Seattle,US,,Fair,Good,Poor,Good,Good,Good,Good,Good,Good,Good,,Good,Fair,Rental Car Center,Good,,Yes,Yes,Yes,Business,Good,Fair,Poor,Fair,,Good,Fair,Poor,Poor,Good,Yes,Yes,Poor,3+ Trips,66.66666667,44.68545322,No,67.28142171,0
940,B,1,English,Female,San Diego,US,,Fair,Fair,Fair,Fair,,,,Good,,,,,Fair,Private Car,,Curb Drop,No,,No,Visiting Friends and Relatives,Good,Good,Good,Good,,,,Good,Fair,Very Good,Yes,,Poor,2 Trips,59.375,72.72426752,No,0,26.07703793
133,C,1,English,Female,Oakland,US,Alameda,Fair,Good,Good,Good,,,,Good,,Fair,,,,BART,Fair,,No,,No,Business,Fair,Fair,Very Good,Very Good,,Good,,,Good,Very Good,Yes,Yes,Poor,2 Trips,61.11111111,68.20154751,No,56.94067943,9.195947064
1069,B,1,English,Female,Daeniuen,Netherlands,,Fair,Fair,Good,Good,Fair,Good,Very Good,Good,Fair,Very Good,Good,Good,Good,Hotel Shuttle,Good,,No,,Yes,Vacation,Poor,Good,Good,Fair,Good,Good,Good,Good,Good,Fair,Yes,Yes,Fair,2 Trips,68.75,66.58551939,No,33.54772095,43.47909801
1068,B,1,English,Male,San Jose,US,Santa Clara,Fair,Good,Fair,Fair,Fair,,Good,Good,Very Good,Very Good,Very Good,,Fair,Private Car,,Curb Drop,Yes,No,No,Vacation,Fair,Poor,Good,Good,,,,,,Good,Yes,Yes,Fair,3+ Trips,65.38461538,72.79552588,No,18.19361839,39.57861806
291,B,1,English,Female,San Diego,US,,Fair,Good,,Fair,,,Poor,Fair,,Good,,Fair,,Rental Car Center,Fair,,No,,No,Business,Very Good,Fair,Good,Good,,Good,Good,,Good,Good,Yes,Yes,Fair,2 Trips,57.5,72.24719603,,0,0
915,B,1,English,Male,San Francisco,US,San Francisco,Fair,Fair,Fair,Fair,,,,Good,,,,,Fair,Private Car,,Curb Drop,No,,No,Visiting Friends and Relatives,Good,Good,Good,Good,,,,Good,Good,Good,Yes,Yes,Fair,1 Trip,59.375,74.34702288,No,0,46.94212032
286,B,1,English,Female,South San Francisco,US,San Mateo,Fair,Fair,Fair,Fair,,,Good,Good,Fair,,,,Fair,Shared Ride Van,Good,,No,,No,Business,Good,Good,Good,Good,,,,Good,Good,Good,Yes,Yes,Fair,3+ Trips,61.36363636,70.50159407,No,46.25001869,27.54827621
115,C,1,English,Male,Madison,US,,Fair,Fair,Good,Good,,,,Good,,,,,Fair,Private Car,,Curb Drop,Yes,No,No,Visiting Friends and Relatives,Very Good,Very Good,Fair,Fair,,,,,Fair,Very Good,Yes,Yes,Fair,2 Trips,71.875,42.70625159,No,29.19307697,40.16608459
1080,B,1,English,Male,San Francisco,US,San Francisco,Good,Good,Fair,Fair,,,,Good,,,,,Fair,Private Car,,Curb Drop,No,,No,Visiting Friends and Relatives,Good,Good,Good,Good,,,,Fair,Fair,Very Good,Yes,Yes,Fair,2 Trips,65.625,76.03526955,Yes,13.72770198,40.666238
92,B,1,English,Male,San Francisco,US,San Francisco,Good,Good,Good,,,,Good,Good,Fair,,Poor,,,Private Car,,Airport Long Term Parking,No,,No,Visiting Friends and Relatives,Very Good,Very Poor,Good,Good,,,,Good,Fair,Very Good,Yes,Yes,Fair,3+ Trips,61.11111111,42.30225206,No,41.17136213,13.24848253
800,B,1,English,Female,San Francisco,US,San Francisco,Good,Good,Fair,Good,,,,Very Good,,,,,,Private Car,,Curb Drop,No,,No,Business,Very Good,Good,Very Good,Very Good,,,,,Good,Very Good,Yes,Yes,Fair,3+ Trips,78.57142857,100,No,35.28592592,8.765079242
754,C,1,English,Female,San Francisco,US,San Francisco,Fair,Fair,Fair,Fair,,,,Good,,,,,Fair,Private Car,,Curb Drop,No,,No,Wedding/Funeral,Good,Good,Fair,Fair,,,,Good,Good,Very Good,Yes,Yes,Fair,1 Trip,59.375,75.84395024,Yes,14.97648116,21.34782403
194,B,1,English,Male,San Francisco,US,San Francisco,Fair,Poor,Fair,Fair,,,,Fair,,,,,Fair,Private Car,,Curb Drop,Yes,No,No,Visiting Friends and Relatives,Good,Good,Fair,Fair,,,,Good,Good,Very Good,Yes,Yes,Fair,2 Trips,53.125,67.77392319,,9.39166144,29.55556498
41,C,1,English,Female,Pleasant Hill,US,Contra Costa,Good,Fair,Fair,Fair,,,Good,Good,Good,,Good,,Fair,Private Car,,Airport Long Term Parking,No,,No,Business,Very Good,Good,Good,Good,,,,Good,Good,Very Good,Yes,Yes,Fair,2 Trips,68.18181818,81.66206567,No,30.21822291,15.5031524
914,B,1,English,Male,Chicago,US,,Fair,Fair,Fair,Fair,,,,Good,,,,,Fair,Taxi,Good,,No,,No,Business,Good,Good,Good,Good,,,,Good,Good,Very Good,Yes,Yes,Fair,3+ Trips,61.11111111,85.44576582,No,29.9184917,31.54522439
1117,B,1,English,Male,South San Francisco,US,San Mateo,Good,Good,Fair,,,,Good,Good,,,,,Fair,Taxi,Good,,No,,No,Business,Good,Good,Good,Good,,,,Good,Good,Very Good,Yes,Yes,Fair,3+ Trips,69.44444444,63.56186535,No,50.74775519,23.07327832
652,C,1,English,Male,San Francisco,US,San Francisco,Good,Good,Fair,,,,Good,,,,,,Fair,Private Car,,Curb Drop,No,,No,Visiting Friends and Relatives,Good,Good,Good,Good,,,,Good,Good,Very Good,Yes,Yes,Fair,1 Trip,67.85714286,73.439723,No,11.05482529,16.37180474
1235,C,1,English,Female,San Francisco,US,San Francisco,Very Good,Fair,Good,Good,Good,,Very Good,Good,Good,Good,,Good,Good,Limousine,Very Good,,Yes,No,Yes,Business,Very Good,Very Good,Good,Good,Fair,Good,Good,Good,Good,Very Good,Yes,Yes,Fair,3+ Trips,82.14285714,75.42177073,No,26.87112672,24.08088755
802,B,1,English,Male,Denver,US,,Good,Good,Fair,Fair,,,Good,Good,,Very Good,,Good,Fair,Rental Car Center,Good,,No,,Yes,Vacation,Good,Good,Good,Good,,Very Good,Good,Good,Good,Very Good,Yes,Yes,Fair,1 Trip,70.83333333,74.81487104,No,6.828211706,32.14494136
736,C,1,English,Male,Waikiloa,US,,Good,Fair,Good,Good,Very Good,Very Good,Good,Very Good,Fair,Good,Good,Good,Fair,Private Car,,Curb Drop,No,,No,Other,Very Good,Very Good,Good,Good,Fair,Good,Good,Very Good,Good,Very Good,Yes,Yes,Fair,3+ Trips,78.33333333,70.01963991,No,24.59601277,9.689470798
806,C,1,English,Female,San Francisco,US,San Francisco,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,,,Shared Ride Van,Very Good,,Yes,No,No,Visiting Friends and Relatives,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,,Very Good,Very Good,Very Good,Yes,Yes,Fair,1 Trip,100,88.82711318,No,37.66991518,0
660,C,1,English,Male,Burlingame,US,San Mateo,Good,,Poor,,,,Good,Very Good,Good,Good,Good,,Poor,Private Car,,Airport Long Term Parking,No,,No,Vacation,Poor,Poor,Very Good,Very Good,Very Good,Very Good,,Very Good,Very Good,Very Good,Yes,Yes,Fair,1 Trip,57.5,90.52607178,,45.29922858,33.55031673
1079,C,1,English,Female,Minneapolis,US,,Good,Fair,Fair,Very Good,,,,Poor,,,,,,BART,Good,,No,,No,Visiting Friends and Relatives,Fair,Fair,Good,Good,,Very Good,,Fair,Good,Fair,Yes,Yes,Good,3+ Trips,59.375,85.8104544,No,10.29963312,41.17170445
657,C,1,English,Female,San Francisco,US,San Francisco,Good,,Fair,Fair,,,Fair,Good,Fair,Good,,Good,Fair,Private Car,,Airport Long Term Parking,Yes,No,No,Business,Good,Good,Good,Fair,Fair,,Fair,,,Good,Yes,Yes,Good,3+ Trips,63.63636364,65.92270706,No,42.67507568,16.26096916
1084,B,1,English,Female,Bolinas,US,Marin,Very Good,Fair,,,,,Good,Good,Fair,,,,,Private Scheduled Bus,Very Good,,No,,No,Business,Very Good,Very Good,Very Good,Very Good,,,,,Fair,Good,Yes,Yes,Good,3+ Trips,81.25,85.65748656,No,47.4659116,0
189,B,1,English,Male,Foster City,US,San Mateo,Good,Fair,Fair,,,,Good,Good,Good,,,,,Taxi,Good,,No,,Yes,Business,Very Good,Fair,Fair,Fair,Fair,,,Fair,Fair,Good,Yes,Yes,Good,3+ Trips,69.44444444,57.83808418,No,12.40964792,33.0860861
